AVG(PRESSUREWINDSPEED),SPEED
0,
1017.8345864661654,0
1018.5403225806451,1
1016.5608465608466,2
1015.2035398230089,4
1016.7272727272727,8
1014.9508196721312,5
1015.8541666666666,3
1021.75,10
1022.3333333333334,12
1021.6666666666666,11
1018.6666666666666,9
1013.8,6
1017.0769230769231,7
