Vancouver,Max of Vancouver,,Vancouver
160,286.49,,160
160,286.44,,160
150,286.71,,150
0,286.43,,0
330,286.04,,330
180,285.97,,180
157,285.43,,157
30,284.46,,30
360,283.85,,360
360,284.17,,360
360,283.89,,360
0,283.65,,0
10,283.55,,10
120,283.49,,120
110,283.76,,110
100,283.94,,100
90,284.37,,90
110,284.59,,110
130,285.23,,130
130,285.6,,130
90,285.5,,90
40,285.2,,40
130,285.17,,130
80,284.79,,80
90,284.65,,90
190,284.55,,190
90,284.81,,90
90,285.31,,90
50,285.58,,50
0,285.97,,0
200,285.68,,200
200,285.14,,200
220,285.57,,220
220,285.21,,220
250,285.2,,250
290,284.34,,290
280,283.61,,280
280,283.04,,280
270,282.77,,270
250,283.06,,250
230,284.62,,230
250,285.6,,250
250,285.65,,250
270,286.57,,270
310,287.15,,310
270,286.45,,270
270,286.36,,270
300,285,,300
190,284.19,,190
10,282.75,,10
250,282.59,,250
250,282.22,,250
240,282.23,,240
270,282.32,,270
250,281.99,,250
250,281.6,,250
270,281.43,,270
110,280.89,,110
110,280.57,,110
80,280.11,,80
80,280.22,,80
70,280.63,,70
70,280.48,,70
40,281.24,,40
90,281.61,,90
110,282.82,,110
120,283.73,,120
130,283.69,,130
140,283.76,,140
160,284.22,,160
140,284.67,,140
0,284.14,,0
110,283.65,,110
90,283.27,,90
110,283.28,,110
40,282.97,,40
0,282.98,,0
70,282.85,,70
80,282.51,,80
80,282.51,,80
0,282.51,,0
90,282.39,,90
100,282.51,,100
100,282.38,,100
100,282.44,,100
100,282.33,,100
100,282.43,,100
100,283.33,,100
90,283.17,,90
90,283.29,,90
30,283.77,,30
180,283.63,,180
90,283.27,,90
160,283.15,,160
50,282.81,,50
90,282.81,,90
0,282.92,,0
60,282.84,,60
60,283.18,,60
80,282.92,,80
90,283.34,,90
120,283.42,,120
100,283.39,,100
130,284.02,,130
50,284.17,,50
150,284.47,,150
160,284.77,,160
170,285.02,,170
180,284.96,,180
200,285.21,,200
0,284.48,,0
10,284.19,,10
320,284.87,,320
260,285.2,,260
240,284.83,,240
240,284.74,,240
280,284.34,,280
280,284.88,,280
300,284.69,,300
280,284.78,,280
250,283.13,,250
220,281.97,,220
180,282.22,,180
30,282.36,,30
0,281.76,,0
37,281.5125,,37
75,281.265,,75
112,281.0175,,112
150,280.77,,150
187,280.5225,,187
225,280.275,,225
262,280.0275,,262
300,279.78,,300
280,280.0622222,,280
260,280.3444444,,260
